name;company;technology;job;location_city;location_country;salary_low;salary_high;salary_currency
Senior Cloud Data Engineer;SEB (Skandinaviska Enskilda Banken);Python;data engineer;Warszawa;N/A;30000;35000;PLN
Senior Data Engineer;SEB (Skandinaviska Enskilda Banken);Python;data engineer;Warszawa;N/A;34000;37000;PLN
Mid Data Engineer;Green Minds Sp.z o.o.;Python;data engineer;Zdalnie;N/A;25200;30240;PLN
Data Engineer (Snowflake);GetInData | Part of Xebia;Snowflake;data engineer;Zdalnie;N/A;18480;26880;PLN
Data Engineer (Dataiku/Linkurious);Sopra Steria - Apps Services;Dataiku;data engineer;Zdalnie;N/A;16000;21000;PLN
Data Engineer;Devire Sp. z o.o.;Python;data engineer;Zdalnie;N/A;18480;25000;PLN
Data Engineer;N-iX;Python;data engineer;Zdalnie;N/A;16742;20091;PLN
Cloud Data Architect (GCP/Azure);Elitmind;GCP;data engineer;Zdalnie;N/A;24024;31920;PLN
Azure Data Architect;Avenga;Azure;data engineer;Zdalnie;N/A;30200;35200;PLN
Power BI (Data) Developer;Avanade Poland;;data engineer;Kraków;N/A;19320;29400;PLN
Big Data Developer;Avenga;Python;data engineer;Warszawa;N/A;20160;23520;PLN
Data Platform Architect (Azure);GetInData | Part of Xebia;Azure;data engineer;Zdalnie;N/A;33600;40320;PLN
Data Architect;IDBC Creative Solutions Kft.;Big Data;data engineer;Budapest;N/A;18705;21043;PLN
Tester ETL;Team Connect Sp. z o.o.;SQL;data engineer;Zdalnie;N/A;15000;20000;PLN
Power BI Developer/Data Analyst;Objectivity - part of Accenture;;data engineer;Zdalnie;N/A;15960;21168;PLN
Big Data / Scala Developer;Sii Polska;Scala;data engineer;Zdalnie;N/A;17640;35280;PLN
Data Consultant/ Developer;Netcompany Poland;SQL;data engineer;Warsaw;N/A;9000;15000;PLN
ETL Developer;Devire;;data engineer;Zdalnie;N/A;16000;23000;PLN
Big Data Developer (ScyllaDB/Cassandra);Piwik PRO;Rust;data engineer;Zdalnie;N/A;17000;24000;PLN
Junior Python Developer - Data Pipeline Specialist;juucy;Python;data engineer;Zdalnie;N/A;12000;12000;PLN
"M&lstrok;odszy analityk danych";Avenga;;data analyst;Warszawa;N/A;7560;9240;PLN
Data Analyst (f/m/d) for Power BI;DATAGROUP Polska Sp. z o.o.;Power BI;data analyst;Zdalnie;N/A;6000;12000;PLN
Data Analytics Catalog Engineer/Analyst;MSD;Python;data analyst;Prague;N/A;14576;20042;PLN
Data Analytics Catalog Engineer/Analyst;MSD;Python;data analyst;Prague;N/A;14576;20042;PLN
Business Data Analyst / BI /Salesforce;Object First;;data analyst;"Wroc&lstrok;aw";N/A;16742;18835;PLN
